distance_threshold,num_colors_l1,num_colors_l2,num_colors_l3,num_nodes_loss,reduction_nodes,num_params_loss,reduction_pars_loss
0.0126,66,57,69,192,0.128,60331,0.06714560772835027
0.0128,66,57,66,189,0.126,60127,0.06691856518013155
0.013,66,55,66,187,0.12466666666666666,59861,0.06662251950451303
0.0132,66,53,64,183,0.122,59467,0.06618401575942394
0.0134,64,52,63,179,0.11933333333333333,57599,0.06410501830808783
0.0136,64,50,62,176,0.11733333333333333,57282,0.06375221199541463
0.0138,64,49,61,174,0.116,57095,0.06354408965954747
0.014,64,49,60,173,0.11533333333333333,57035,0.06347731243948314
0.0142,64,48,59,171,0.114,56851,0.0632725289646192
0.0144,63,47,59,169,0.11266666666666666,55895,0.062208545258260896
0.0146,61,44,58,163,0.10866666666666666,53813,0.05989137572202869
0.0148,60,44,57,161,0.10733333333333334,52929,0.05890752467974758
0.015,58,43,56,157,0.10466666666666667,51101,0.056873045375121035
0.0152,56,43,56,155,0.10333333333333333,49445,0.05502999410134556
0.0154,55,42,54,151,0.10066666666666667,48399,0.05386584456489076
0.0156,54,40,53,147,0.098,47303,0.052646047345049025
0.0158,53,40,53,146,0.09733333333333333,46478,0.05172786056916451
0.016,53,39,51,143,0.09533333333333334,46271,0.05149747915994257
0.0162,53,38,49,140,0.09333333333333334,46068,0.051271549565391594
0.0164,53,38,48,139,0.09266666666666666,46019,0.05121701483567239
0.0166,51,38,46,135,0.09,44275,0.049276023639135906
0.0168,51,37,46,134,0.08933333333333333,44177,0.0491669541796975
0.017,51,37,46,134,0.08933333333333333,44177,0.0491669541796975
0.0172,49,37,46,132,0.088,42533,0.047337258349934894
0.0174,49,36,46,131,0.08733333333333333,42437,0.047230414797831966
0.0176,49,35,44,128,0.08533333333333333,42249,0.04702117950829707
0.0178,49,35,43,127,0.08466666666666667,42203,0.04696998363958108
0.018,49,35,43,127,0.08466666666666667,42203,0.04696998363958108
0.0182,49,34,43,126,0.084,42110,0.04686647894848137
0.0184,48,34,42,124,0.08266666666666667,41246,0.04590488697955504
0.0186,48,34,42,124,0.08266666666666667,41246,0.04590488697955504
0.0188,46,34,40,120,0.08,39518,0.043981703041702375
0.019,46,34,40,120,0.08,39518,0.043981703041702375
0.0192,46,34,39,119,0.07933333333333334,39473,0.04393162012665413
0.0194,45,34,39,118,0.07866666666666666,38654,0.04302011107277604
0.0196,45,34,38,117,0.078,38609,0.042970028157727796
0.0198,44,34,38,116,0.07733333333333334,37790,0.04205851910384971
0.02,44,33,37,114,0.076,37663,0.041917173988046875
