epoch,num_nodes_coll,num_params_coll,reduction_pars_coll,reduction_nodes,num_colors_l0,num_colors_l1,num_colors_l2
35,848,480374,0.5346340051863641,0.5653333333333334,406,282,160
36,844,476384,0.5301933200520862,0.5626666666666666,399,292,153
37,838,473051,0.5264838454775128,0.5586666666666666,398,289,151
38,815,458853,0.5106821293029571,0.5433333333333333,396,266,153
39,809,461267,0.5133687994568786,0.5393333333333333,397,279,133
40,760,448541,0.4992053510812345,0.5066666666666667,405,257,98
41,719,409181,0.45539949471903485,0.47933333333333333,373,240,106
42,698,404891,0.45062492348443534,0.4653333333333333,374,241,83
43,651,382615,0.42583276758188554,0.434,369,207,75
44,646,392582,0.4369255767882383,0.43066666666666664,383,208,55
45,619,379313,0.422157794571012,0.4126666666666667,374,206,39
46,593,352611,0.39243970573505027,0.3953333333333333,352,185,56
47,605,359267,0.39984752534751977,0.4033333333333333,354,198,53
48,589,353817,0.39378192785834326,0.39266666666666666,352,195,42
49,601,351455,0.3911531312951442,0.40066666666666667,344,202,55
50,602,361931,0.40281243391837596,0.4013333333333333,358,199,45
51,575,345515,0.38454218650877564,0.38333333333333336,345,195,35
52,524,319935,0.35607283168801684,0.34933333333333333,334,155,35
53,535,325631,0.3624122157794571,0.3566666666666667,339,155,41
54,513,315935,0.35162101701706155,0.342,333,148,32
55,485,308925,0.3438192118062125,0.3233333333333333,334,131,20
56,501,313595,0.34901670543455277,0.334,334,142,25
57,459,292571,0.32561796752401195,0.306,321,118,20
58,461,290987,0.3238550489143137,0.30733333333333335,317,124,20
59,452,287255,0.31970150582631246,0.30133333333333334,314,123,15
60,472,296975,0.3305194154767337,0.31466666666666665,322,127,23
61,460,284045,0.31612892455287084,0.30666666666666664,309,121,30
62,422,264956,0.2948837519894047,0.2813333333333333,296,100,26
63,433,274295,0.30527762629241745,0.2886666666666667,304,109,20
64,417,260941,0.29041524301343336,0.278,291,102,24
65,399,256409,0.28537133699124106,0.266,289,97,13
66,409,262197,0.2918131128201133,0.27266666666666667,297,90,22
67,409,250335,0.2786112564133955,0.27266666666666667,277,108,24
68,371,237405,0.26422076548953266,0.24733333333333332,274,74,23
69,365,236121,0.262791732980156,0.24333333333333335,273,74,18
70,397,251333,0.27972198417379884,0.26466666666666666,284,92,21
71,390,249442,0.27761738878810477,0.26,283,90,17
72,394,246971,0.27486728027512214,0.26266666666666666,278,95,21
73,371,230079,0.2560672669196781,0.24733333333333332,260,92,19
74,396,248152,0.2761816785567217,0.264,279,96,21
75,374,234296,0.2607605925365327,0.24933333333333332,266,88,20
76,341,217073,0.24159219151706715,0.22733333333333333,253,66,22
77,350,217565,0.24213976472159465,0.23333333333333334,249,81,20
78,367,234029,0.26046343390724647,0.24466666666666667,268,82,17
79,372,236818,0.26356746168656997,0.248,270,86,16
80,358,227213,0.2528775417079387,0.23866666666666667,261,79,18
81,362,231425,0.2575653025564546,0.24133333333333334,267,75,20
82,330,213110,0.23718155613181824,0.22,251,58,21
83,340,220484,0.24538847647772424,0.22666666666666666,257,68,15
84,320,210080,0.23380930651856963,0.21333333333333335,249,54,17
85,308,205187,0.22836362422232362,0.20533333333333334,246,45,17
86,281,185691,0.20666547951608774,0.18733333333333332,223,44,14
87,285,186397,0.20745122480551134,0.19,222,51,12
88,271,179607,0.19989426940156482,0.18066666666666667,217,39,15
89,312,200654,0.2233186052464636,0.208,238,52,22
90,278,179435,0.19970284137071373,0.18533333333333332,214,49,15
91,285,182353,0.2029504401731756,0.19,217,50,18
92,300,192707,0.21447396244894326,0.2,228,55,17
93,304,192318,0.21404102347219287,0.20266666666666666,226,60,18
94,317,208505,0.232056404491881,0.21133333333333335,248,51,18
95,329,204909,0.22805422310269224,0.21933333333333332,238,68,23
96,318,204110,0.22716497312216893,0.212,239,64,15
97,301,193181,0.21500150248745145,0.20066666666666666,229,53,19
98,276,180694,0.2011040500383969,0.184,216,48,12
99,290,189849,0.21129314086654571,0.19333333333333333,227,47,16
100,292,198863,0.22132530522754337,0.19466666666666665,240,41,11
101,266,181725,0.20225150526983562,0.17733333333333334,221,35,10
102,273,173383,0.19296724577355845,0.182,207,47,19
103,265,175959,0.19583421442165364,0.17666666666666667,212,42,11
104,265,172593,0.19208801237604478,0.17666666666666667,207,45,13
